fecha,long,lat,nro_huevos
26/12/2017,-31.82541,-60.51482,1
26/12/2017,-31.82497,-60.51399,0
26/12/2017,-31.82674,-60.51413,0
26/12/2017,-31.82544,-60.51574,55
26/12/2017,-31.82448,-60.51537,0
20/12/2017,-31.82822,-60.51399,37
20/12/2017,-31.82881,-60.51573,0
20/12/2017,-31.82815,-60.51523,10
20/12/2017,-31.82795,-60.51634,0
20/12/2017,-31.82686,-60.51618,0
21/12/2017,-31.82731,-60.51542,0
21/12/2017,-31.82643,-60.51484,0
21/12/2017,-31.82541,-60.51482,36
20/12/2017,-31.82497,-60.51399,0
20/12/2017,-31.82674,-60.51413,0
20/12/2017,-31.82544,-60.51574,10
21/12/2017,-31.82448,-60.51537,1
12/12/2017,-31.82822,-60.51399,0
12/12/2017,-31.82881,-60.51573,0
12/12/2017,-31.82815,-60.51523,21
12/12/2017,-31.82795,-60.51634,0
12/12/2017,-31.82686,-60.51618,0
12/12/2017,-31.82731,-60.51542,0
12/12/2017,-31.82643,-60.51484,0
12/12/2017,-31.82541,-60.51482,0
12/12/2017,-31.82497,-60.51399,0
12/12/2017,-31.82674,-60.51413,0
12/12/2017,-31.82544,-60.51574,40
12/12/2017,-31.82448,-60.51537,13
5/12/2017,-31.82822,-60.51399,0
5/12/2017,-31.82881,-60.51573,0
5/12/2017,-31.82815,-60.51523,0
5/12/2017,-31.82795,-60.51634,0
5/12/2017,-31.82686,-60.51618,0
5/12/2017,-31.82731,-60.51542,0
5/12/2017,-31.82643,-60.51484,0
5/12/2017,-31.82541,-60.51482,0
5/12/2017,-31.82497,-60.51399,0
5/12/2017,-31.82674,-60.51413,0
5/12/2017,-31.82544,-60.51574,6
5/12/2017,-31.82448,-60.51537,0
28/11/2017,-31.82822,-60.51399,0
28/11/2017,-31.82881,-60.51573,0
28/11/2017,-31.82815,-60.51523,0
28/11/2017,-31.82795,-60.51634,0
28/11/2017,-31.82686,-60.51618,0
28/11/2017,-31.82731,-60.51542,0
28/11/2017,-31.82643,-60.51484,7
28/11/2017,-31.82541,-60.51482,31
28/11/2017,-31.82497,-60.51399,0
28/11/2017,-31.82674,-60.51413,0
28/11/2017,-31.82544,-60.51574,29
28/11/2017,-31.82448,-60.51537,0
21/11/2017,-31.82822,-60.51399,0
21/11/2017,-31.82881,-60.51573,0
21/11/2017,-31.82815,-60.51523,0
21/11/2017,-31.82795,-60.51634,0
21/11/2017,-31.82686,-60.51618,0
21/11/2017,-31.82731,-60.51542,0
21/11/2017,-31.82643,-60.51484,0
21/11/2017,-31.82541,-60.51482,0
21/11/2017,-31.82497,-60.51399,0
21/11/2017,-31.82674,-60.51413,0
21/11/2017,-31.82544,-60.51574,18
21/11/2017,-31.82448,-60.51537,0
14/11/2017,-31.82822,-60.51399,0
14/11/2017,-31.82881,-60.51573,0
14/11/2017,-31.82815,-60.51523,0
14/11/2017,-31.82795,-60.51634,0
