fecha,lat,long,nro_huevos,x,y
12/05/2018,-31.82674,-60.51413,19,735277.178888299,-3523924.0096860854
12/05/2018,-31.82544,-60.51574,0,735128.0545216311,-3523776.3693633894
12/05/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
3/05/2018,-31.82822,-60.51399,0,735286.6754710863,-3524088.4245595946
3/05/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
3/05/2018,-31.82815,-60.51523,9,735169.4612787932,-3524077.97530978
3/05/2018,-31.82795,-60.51634,9,735064.8839239381,-3524053.3937491737
3/05/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
3/05/2018,-31.82731,-60.51542,0,735153.6052599191,-3523984.419400653
3/05/2018,-31.82643,-60.51484,3,735210.7482853285,-3523888.096319442
3/05/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
3/05/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
3/05/2018,-31.82674,-60.51413,5,735277.178888299,-3523924.0096860854
3/05/2018,-31.82544,-60.51574,11,735128.0545216311,-3523776.3693633894
3/05/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
25/04/2018,-31.82822,-60.51399,65,735286.6754710863,-3524088.4245595946
25/04/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
25/04/2018,-31.82815,-60.51523,2,735169.4612787932,-3524077.97530978
25/04/2018,-31.82795,-60.51634,3,735064.8839239381,-3524053.3937491737
25/04/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
25/04/2018,-31.82731,-60.51542,0,735153.6052599191,-3523984.419400653
25/04/2018,-31.82643,-60.51484,0,735210.7482853285,-3523888.096319442
25/04/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
25/04/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
25/04/2018,-31.82674,-60.51413,0,735277.178888299,-3523924.0096860854
25/04/2018,-31.82544,-60.51574,11,735128.0545216311,-3523776.3693633894
25/04/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
18/04/2018,-31.82822,-60.51399,0,735286.6754710863,-3524088.4245595946
18/04/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
18/04/2018,-31.82815,-60.51523,0,735169.4612787932,-3524077.97530978
18/04/2018,-31.82795,-60.51634,37,735064.8839239381,-3524053.3937491737
18/04/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
18/04/2018,-31.82731,-60.51542,19,735153.6052599191,-3523984.419400653
18/04/2018,-31.82643,-60.51484,0,735210.7482853285,-3523888.096319442
18/04/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
18/04/2018,-31.82497,-60.51399,15,735294.9266368765,-3523728.0447983206
18/04/2018,-31.82674,-60.51413,0,735277.178888299,-3523924.0096860854
18/04/2018,-31.82544,-60.51574,36,735128.0545216311,-3523776.3693633894
18/04/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
